TRANSECT,SITE,REEFTYPE,Acanthurus thompsoni,Ctenochaetus striatus,Acanthurus nigricauda,Ctenochaetus tominiensis,Acanthurus grammoptilus,Zebrasoma scopas,Naso hexacanthus,Naso brevirostris,Acanthurus fowleri,Naso lituratus,Acanthurus pyroferus,Acanthurus nigrofuscus,Acanthurus nubilis,Naso vlamingii,Ctenochaetus binotatus,Acanthurus mata,Naso caesius,Acanthurus albipectoralis,Acanthurus auranticavus,Acanthurus guttatus,Zebrasoma veliferum,Acanthurus maculiceps,Naso unicornis,Naso caeruleacauda,Acanthurus blochii,Acanthurus nubilus,Apogon chrysotaenia,Apogon angustatus,Sufflamen bursa,Odonus niger,Balistoides viridescens,Sufflamen fraenatum,Melichthys vidua,Balistoides conspicillum,Balistapus undulatus,Sufflamen chrysopterum,Canthidermis maculatus,Meiacanthus vittatus,Meiacanthus crinitus,Meiacanthus grammistes,Aspidontus taeniatus,Caesio cuning,Pterocaesio tile,Caesio lunaris,Pterocaesio chrysozona,Caesio teres,Caranx melampygus,Caranx sexfasciatus,Carangoides bajad,Elagatis bipinnulata,Caranx ignobilis,Carcharhinus amblyrhynchos,Carcharhinus melanopterus,Forcipiger flavissimus,Chaetodon baronessa,Chaetodon kleinii,Chaetodon octofasciatus,Hemitaurichthys polylepis,Chaetodon vagabundus,Chaetodon ocellicaudus,Chaetodon lunula,Heniochus acuminatus,Heniochus diphreutes,Chaetodon lineolatus,Chaetodon auriga,Heniochus singularius,Heniochus chrysostomus,Chaetodon lunulatus,Chaetodon oxycephalus,Heniochus varius,Paracirrhites forsteri,Platax teira,Platax batavianus,Plectorhinchus picus,Myripristis berndti,Myripristis murdjan,Myripristis vittata,Sargocentron caudimaculatum,Myripristis kuntee,Cirrhilabrus solorensis,Cheilinus fasciatus,Labroides dimidiatus,Thalassoma lunare,Hemigymnus fasciatus,Halichoeres prosopeion,Thalassoma quinquevittatum,Halichoeres hortulanus,Thalassoma jansenii,Labroides pectoralis,Thalassoma hardwicke,Diproctacanthus xanthurus,Cirrhilabrus walindii,Bodianus dictynna,Bodianus mesothorax,Bodianus anthioides ,Bodianus diana,Anampses melanurus,Halichoeres chrysus,Pictilabrus paccagnellae,Oxycheilinus orientalis,Anampses neoguinaicus,Oxycheilinus digrammus,Halichoeres marginatus,Pseudocoris yamashiroi,Oxycheilinus celebicus,Labroides bicolor,Halichores trimaculatu,Cheilinus undulatus,Hologymnosus doliatus,Gomphosus varius,Thalassoma amblycephalum,Halichoeres trimaculatus,Thalassoma lutescens,Halichoeres chlorocephalus,Halichoeres chloropterus,Halichoeres richmondi,Lethrinus erythracanthus,Monotaxis grandoculis,Monotaxis heterodon,Lutjanus bohar,Lutjanus monostigma,Macolor macularis,Lutjanus semicinctus,Lutjanus gibbus,Lutjanus ehrenbergii,Macolor niger,Lutjanus carponotatus,Lutjanus kasmira,Lutjanus biguttatus,Pinjalo lewisi,Cantherhines dumerilii,Parupeneus multifasciatus,Scolopsis affinis,Pholidichthys leucotaenia,Centropyge vroliki,Pomacanthus navarchus,Pygoplites diacanthus,Genicanthus melanospilos,Centropyge bicolor,Pomacanthus sexstriatus,Chromis xanthura,Acanthochromis polyacanthus,Chrysiptera cyanea,Chromis margaritifer,Chrysiptera parasema,Dascyllus trimaculatus,Chromis amboinensis,Chromis parasema,Amblyglyphidodon aureus,Pomacentrus nigromanus,Chrysiptera talboti,Dascyllus melanurus,Neopomacentrus bankieri,Chromis viridis,Chromis ternatensis,Chromis retrofasciata,Amblyglyphidodon leucogaster,Chrysiptera rollandi,Chromis atripes,Chromis elerae,Lepidozygus tapeinosoma,Amphiprion perideraion,Chromis delta,Chromis xanthochira,Amphiprion clarkii,Chromis alpha,Chromis analis,Chromis weberi,Pomacentrus lepidogenys,Pomacentrus amboinensis,Pomacentrus nigromarginatus,Neoglyphidodon nigroris,Neoglyphidodon melas,Amblyglyphidodon curacao,Neoglyphidodon mitratus,Dascyllus reticulatus,Chromis nigroris,Plectroglyphidodon dickii,Pomacentrus reidi,Pomacentrus philippinus,Priacanthus hamrur,Pseudochromis paccagnellae,Pictichromis paccagnellae,Scarus niger,Scarus prasiognathos,Scarus psittacus,Chlorurus bleekeri,Scarus flavipectoralis,Scarus oviceps,Cetoscarus bicolor,Scarus dimidiatus,Scarus chameleon,Scarus spinus,Scarus rubroviolaceus,Chlorurus sordidus,Chlorurus microrhinos,Scarus tricolor,Hipposcarus longiceps,Cetoscarus ocellatus,Scarus ghobban,Scarus frenatus,Gymnosarda unicolor,Grammatorcynus bilineatus,Cephalopholis microprion,Cephalopholis leopardus,Pseudanthias tuka,Cephalopholis argus,Plectropomus oligacanthus,Epinephelus coeruleopunctatus,Pseudanthias huchtii,Cephalopholis cyanostigma,Pseudanthias dispar,Pseudanthias squamipinnis,Epinephelus fasciatus,Epinephelus areolatus,Pseudanthias bartlettorum,Pseudanthias bicolor,Pseudanthias smithvanizi ,Plectropomus leopardus,Plectropomus maculatus,Epinephelus polyphekadion,Variola albimarginata,Anyperodon leucogrammicus,Cephalopholis miniata,Gracila albomarginata,Siganus vulpinus,Sphyraena qenie,Arothron nigropunctatus,Canthigaster solandri,Zanclus cornutus
DON1,Donnas,NEARSHORE,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DON2,Donnas,NEARSHORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DON3,Donnas,NEARSHORE,78,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,7,0,0,0,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DON5,Donnas,NEARSHORE,5,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,15,1,0,0,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DON6,Donnas,NEARSHORE,2,0,0,4,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,31,0,0,0,0,0,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
BRAD1,Bradford,SEAMOUNT,93,0,0,0,0,0,0,0,0,0,1,0,2,7,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,165,26,125,0,6,3,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,3,2,3,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,203,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAD2,Bradford,SEAMOUNT,114,0,0,0,0,0,1,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,25,4,0,0,0,2,35,0,1,0,0,0,0,0,22,0,0,0,0,16,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BRAD3,Bradford,SEAMOUNT,56,0,0,0,0,0,1,0,0,0,0,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,56,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,6,0,1,6,0,4,0,0,0,0,0,0,6,0,0,8,0,89,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,1,148,1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,0,1
BRAD4,Bradford,SEAMOUNT,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BRAD5,Bradford,SEAMOUNT,88,1,0,0,0,1,5,1,0,1,0,0,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,36,0,0,2,0,0,0,0,0,0,0,0,6,1,310,0,0,1,7,2,0,0,1,0,0,0,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,46,1,0,0,0,0,0,1,0,0,0,0,0,0,49,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0,0,0,0,1,0,2,1,46,35,87,0,0,0,0,0,0,0,0,0,0,0,2
KIMBO2,Kimbe Bomie,SEAMOUNT,30,0,0,0,0,2,23,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1
KIMBO3,Kimbe Bomie,SEAMOUNT,264,2,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,169,3,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,15,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2
KIMBO4,Kimbe Bomie,SEAMOUNT,69,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,2,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
