Family,Taxa,Pinnacle Mean,Pinnacle S.E.,Offshore Mean,Offshore S.E.,Nearshore Mean,Nearshore S.E.,Study total n
Carangidae,Carangoides bajad,0.3,0.12,0.03,0.02,0.05,0.03,15
Carangidae,Caranx ignobilis,0.07,0.04,0,0,0,0,3
Carangidae,Caranx melampygus,0.98,0.28,0,0,0,0,39
Carangidae,Caranx sexfasciatus,7.55,3.5,0,0,0,0,302
Carangidae,Elagatis bipinnulata,0.07,0.06,0.05,0.03,0,0,5
Carcharhinidae,Carcharhinus amblyrhynchos,0.12,0.08,0,0,0,0,5
Carcharhinidae,Carcharhinus melanopterus,0.03,0.02,0,0,0,0,1
Cirrhitidae,Paracirrhites forsteri,0.12,0.06,0,0,0,0,5
Haemulidae,Plectorhinchus chaetodonoides,0,0,0,0,0.03,0.02,1
Haemulidae,Plectorhinchus picus,0.03,0.02,0,0,0,0,1
Lethrinidae,Gymnocranius grandoculis,0,0,0.05,0.03,0,0,2
Lethrinidae,Lethrinus erythracanthus,0.07,0.06,0,0,0,0,3
Lethrinidae,Lethrinus ornatus,0.03,0.02,0,0,0,0,1
Lethrinidae,Monotaxis grandoculis,0.1,0.06,0,0,0.05,0.03,6
Lethrinidae,Monotaxis heterodon,0.42,0.3,0.03,0.02,0,0,18
Lutjanidae,Lutjanus biguttatus,2.95,1.3,0.38,0.13,0.15,0.07,139
Lutjanidae,Lutjanus bohar,0.38,0.14,0,0,0.03,0.02,16
Lutjanidae,Lutjanus boutton,0,0,0.03,0.02,0.03,0.02,2
Lutjanidae,Lutjanus carponotatus,0.05,0.05,0,0,0.03,0.02,3
Lutjanidae,Lutjanus ehrenbergii,0.07,0.04,0,0,0.03,0.02,4
Lutjanidae,Lutjanus fulvus,0.03,0.02,0,0,0,0,1
Lutjanidae,Lutjanus gibbus,1.62,0.6,0.28,0.13,0.15,0.07,82
Lutjanidae,Lutjanus kasmira,0.17,0.09,0,0,0,0,7
Lutjanidae,Lutjanus monostigma,0,0,0.25,0.11,0.07,0.04,13
Lutjanidae,Lutjanus papuensis,0.03,0.02,0,0,0,0,1
Lutjanidae,Lutjanus rivulatus,0.03,0.02,0,0,0,0,1
Lutjanidae,Lutjanus russellii,0,0,0.03,0.02,0.03,0.02,2
Lutjanidae,Lutjanus semicinctus,0,0,0,0,0.12,0.06,5
Lutjanidae,Macolor macularis,4.82,1.69,1.23,0.32,0.05,0.03,244
Lutjanidae,Macolor niger,1.57,1.17,0.05,0.05,0,0,65
Lutjanidae,Pinjalo lewisi,1.3,1.16,0,0,0,0,52
Lutjanidae,Pinjalo pinjalo,0.32,0.32,0,0,0,0,13
Scombridae,Grammatorcynus bilineatus,0.05,0.05,0,0,0,0,2
Scombridae,Gymnosarda unicolor,0.07,0.04,0.05,0.03,0,0,5
Serranidae,Anyperodon leucogrammicus,0,0,0,0,0.03,0.02,1
Serranidae,Cephalopholis argus,0.15,0.07,0,0,0.03,0.02,7
Serranidae,Cephalopholis cyanostigma,0.48,0.17,0.32,0.07,0,0,32
Serranidae,Cephalopholis leopardus,0.05,0.05,0,0,0.05,0.05,4
Serranidae,Cephalopholis microprion,0.25,0.16,0.03,0.02,0.07,0.04,14
Serranidae,Cephalopholis miniata,0.25,0.11,0,0,0,0,10
Serranidae,Cephalopholis sexmaculata,0.03,0.02,0,0,0,0,1
Serranidae,Cephalopholis sonnerati,0.03,0.02,0,0,0,0,1
Serranidae,Cephalopholis urodeta,0.45,0.43,0,0,0,0,18
Serranidae,Diploprion bifasciatum,0,0,0,0,0.05,0.03,2
Serranidae,Epinephelus areolatus,0.03,0.02,0,0,0,0,1
Serranidae,Epinephelus coeruleopunctatus,0.03,0.02,0,0,0.03,0.02,2
Serranidae,Epinephelus fasciatus,0.05,0.05,0,0,0,0,2
Serranidae,Epinephelus polyphekadion,0.03,0.02,0,0,0,0,1
Serranidae,Epinephelus tauvina,0.03,0.02,0,0,0,0,1
Serranidae,Gracila albomarginata,0.05,0.03,0,0,0,0,2
Serranidae,Plectropomus laevis,0.03,0.02,0,0,0,0,1
Serranidae,Plectropomus leopardus,0.12,0.05,0,0,0,0,5
Serranidae,Plectropomus maculatus,0.05,0.03,0,0,0.03,0.02,3
Serranidae,Plectropomus oligacanthus,1.02,0.29,0.25,0.08,0.1,0.06,55
Serranidae,Variola albimarginata,0.2,0.1,0.03,0.02,0,0,9
Sphyraenidae,Sphyraena qenie,31.88,23.05,0,0,0,0,1275
Ephippidae,Platax teira,0.78,0.7,0.05,0.03,0,0,33
Holocentridae,Myripristis botche,0.03,0.02,0,0,0,0,1
Holocentridae,Sargocentron spiniferum,0.1,0.08,0,0,0,0,4
Labridae,Cheilinus undulatus,0.1,0.05,0,0,0,0,4
Labridae,Epibulus insidiator,0,0,0.03,0.02,0,0,1
Labridae,Oxycheilinus digramma,0,0,0.07,0.06,0.05,0.03,5
Priacanthidae,Priacanthus hamrur,0.03,0.02,0,0,0,0,1